[ 2026-05-14 11:56:07 | node_34 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:11 | node_37 | INFO ] ✅ [FORCE] Local model added for round 94. (1/10)
[ 2026-05-14 11:56:11 | node_21 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:11 | node_43 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:11 | node_37 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_5', 'node_11', 'node_12', 'node_18', 'node_19', 'node_28', 'node_31', 'node_36', 'node_39']
[ 2026-05-14 11:56:11 | node_27 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:11 | node_49 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_25']
[ 2026-05-14 11:56:12 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:12 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:12 | node_39 | INFO ] ✅ [FORCE] Local model added for round 94. (2/8)
[ 2026-05-14 11:56:12 | node_48 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:12 | node_39 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_8', 'node_9', 'node_13', 'node_14', 'node_26', 'node_28', 'node_37']
[ 2026-05-14 11:56:12 | node_48 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 11:56:12 | node_48 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_12', 'node_20', 'node_22', 'node_32', 'node_42']
[ 2026-05-14 11:56:12 | node_42 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:12 | node_27 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:12 | node_49 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:12 | node_42 | INFO ] ✅ [FORCE] Local model added for round 94. (1/7)
[ 2026-05-14 11:56:13 | node_42 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_12', 'node_16', 'node_28', 'node_36', 'node_46', 'node_48']
[ 2026-05-14 11:56:13 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:13 | node_8 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:13 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:13 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:13 | node_8 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:13 | node_18 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:13 | node_35 | INFO ] ✅ [FORCE] Local model added for round 94. (1/8)
[ 2026-05-14 11:56:14 | node_35 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_4', 'node_12', 'node_13', 'node_21', 'node_22', 'node_40', 'node_45']
[ 2026-05-14 11:56:14 | node_18 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:14 | node_9 | INFO ] 🧩 Model added for round 94 (2/3) from ['node_39']
[ 2026-05-14 11:56:14 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3106960654258728, 'test_acc': 0.9416058659553528, 'test_precision': 0.5555555820465088, 'test_recall': 0.5429996848106384, 'test_f1': 0.5482921600341797, 'communication_cost': 25405110}
[ 2026-05-14 11:56:14 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11541589349508286, 'test_acc': 0.9813664555549622, 'test_precision': 0.8593478798866272, 'test_recall': 0.8310360908508301, 'test_f1': 0.8421863317489624, 'communication_cost': 8468370}
[ 2026-05-14 11:56:14 | node_18 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:14 | node_20 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:14 | node_20 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_48']
[ 2026-05-14 11:56:14 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:14 | node_18 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_37']
[ 2026-05-14 11:56:14 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:14 | node_20 | INFO ] ✅ [FORCE] Local model added for round 94. (2/8)
[ 2026-05-14 11:56:14 | node_6 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:14 | node_20 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_7', 'node_19', 'node_22', 'node_28', 'node_32', 'node_44', 'node_48']
[ 2026-05-14 11:56:14 | node_43 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:14 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:15 | node_18 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:15 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:15 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.056564416736364365, 'test_acc': 0.9821428656578064, 'test_precision': 0.80952388048172, 'test_recall': 0.791534423828125, 'test_f1': 0.7997956871986389, 'communication_cost': 39519060}
[ 2026-05-14 11:56:15 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:15 | node_36 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:15 | node_25 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:15 | node_44 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:15 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:15 | node_47 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:15 | node_44 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:15 | node_31 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:15 | node_47 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:15 | node_21 | INFO ] 🧩 Model added for round 94 (3/9) from ['node_35']
[ 2026-05-14 11:56:16 | node | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:16 | node_19 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:16 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:16 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.21169957518577576, 'test_acc': 0.9563106894493103, 'test_precision': 0.633841872215271, 'test_recall': 0.6229009032249451, 'test_f1': 0.6281418204307556, 'communication_cost': 31050690}
[ 2026-05-14 11:56:16 | node_4 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:16 | node_44 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1759805530309677, 'test_acc': 0.961240291595459, 'test_precision': 0.6008039116859436, 'test_recall': 0.5941064953804016, 'test_f1': 0.5943331718444824, 'communication_cost': 22582320}
[ 2026-05-14 11:56:16 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:16 | node_47 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:16 | node_19 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:16 | node | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:16 | node_44 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:16 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:16 | node_21 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:16 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.17319966852664948, 'test_acc': 0.9629629850387573, 'test_precision': 0.5823310613632202, 'test_recall': 0.569970428943634, 'test_f1': 0.5757518410682678, 'communication_cost': 19759530}
[ 2026-05-14 11:56:16 | node_43 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:16 | node_19 | INFO ] ♻️ Proactively processing 2 early models for round 94.
[ 2026-05-14 11:56:16 | node_21 | INFO ] ✅ [FORCE] Local model added for round 94. (4/9)
[ 2026-05-14 11:56:16 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3050532937049866, 'test_acc': 0.9248554706573486, 'test_precision': 0.5336223244667053, 'test_recall': 0.5283558368682861, 'test_f1': 0.5271314382553101, 'communication_cost': 19759530}
[ 2026-05-14 11:56:16 | node_19 | INFO ] 🧩 Model added for round 94 (1/11) from ['node_20']
[ 2026-05-14 11:56:16 | node_2 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:16 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:17 | node_47 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:17 | node_21 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_10', 'node_36', 'node_23', 'node_24', 'node_35']
[ 2026-05-14 11:56:17 | node_19 | INFO ] 🧩 Model added for round 94 (2/11) from ['node_37']
[ 2026-05-14 11:56:17 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:17 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:17 | node_48 | INFO ] 🧩 Model added for round 94 (2/6) from ['node_42']
[ 2026-05-14 11:56:17 | node_38 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:17 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.17921526730060577, 'test_acc': 0.9447852969169617, 'test_precision': 0.8173240423202515, 'test_recall': 0.8279809951782227, 'test_f1': 0.8206161856651306, 'communication_cost': 16936740}
[ 2026-05-14 11:56:17 | node_7 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:17 | node_19 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:17 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:17 | node_37 | INFO ] 🧩 Model added for round 94 (2/10) from ['node_39']
[ 2026-05-14 11:56:17 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:17 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:17 | node_38 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:17 | node_8 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:17 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10377491265535355, 'test_acc': 0.9645389914512634, 'test_precision': 0.7089383602142334, 'test_recall': 0.7070571184158325, 'test_f1': 0.7068430185317993, 'communication_cost': 31050690}
[ 2026-05-14 11:56:17 | node_8 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:17 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:17 | node_38 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:17 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13797913491725922, 'test_acc': 0.9686411023139954, 'test_precision': 0.7072009444236755, 'test_recall': 0.7208079099655151, 'test_f1': 0.7038440108299255, 'communication_cost': 25405110}
[ 2026-05-14 11:56:17 | node_19 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:17 | node_42 | INFO ] 🧩 Model added for round 94 (2/7) from ['node_48']
[ 2026-05-14 11:56:17 | node_10 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:18 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.25396016240119934, 'test_acc': 0.9666666388511658, 'test_precision': 0.9722222089767456, 'test_recall': 0.9701234102249146, 'test_f1': 0.9675273895263672, 'communication_cost': 16936740}
[ 2026-05-14 11:56:18 | node_27 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:18 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:18 | node_29 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:18 | node_8 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:18 | node_27 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 11:56:18 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:18 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:18 | node_8 | INFO ] 🧩 Model added for round 94 (1/4) from ['node_39']
[ 2026-05-14 11:56:18 | node_27 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_16', 'node_26', 'node_38', 'node_46', 'node_49']
[ 2026-05-14 11:56:18 | node_8 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:18 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:18 | node_17 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:18 | node_17 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:18 | node_3 | INFO ] 🧩 Model added for round 94 (3/10) from ['node_21']
[ 2026-05-14 11:56:18 | node_39 | INFO ] 🧩 Model added for round 94 (3/8) from ['node_37']
[ 2026-05-14 11:56:18 | node_48 | INFO ] 🧩 Model added for round 94 (3/6) from ['node_20']
[ 2026-05-14 11:56:18 | node_38 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:18 | node_10 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.14464613795280457, 'test_acc': 0.9629629850387573, 'test_precision': 0.7166372537612915, 'test_recall': 0.7013224959373474, 'test_f1': 0.7083600759506226, 'communication_cost': 19759530}
[ 2026-05-14 11:56:18 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20181383192539215, 'test_acc': 0.9649122953414917, 'test_precision': 0.6862156391143799, 'test_recall': 0.6953409314155579, 'test_f1': 0.689547598361969, 'communication_cost': 19759530}
[ 2026-05-14 11:56:18 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:18 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:19 | node_8 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:19 | node_25 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:19 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2507515847682953, 'test_acc': 0.9405940771102905, 'test_precision': 0.6964503526687622, 'test_recall': 0.6834091544151306, 'test_f1': 0.6879814863204956, 'communication_cost': 36696270}
[ 2026-05-14 11:56:19 | node_25 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:19 | node_34 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:19 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:19 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:19 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:19 | node_5 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:19 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.054297782480716705, 'test_acc': 0.9718309640884399, 'test_precision': 0.9408165216445923, 'test_recall': 0.9356136918067932, 'test_f1': 0.9207553267478943, 'communication_cost': 28227900}
[ 2026-05-14 11:56:19 | node_5 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:19 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20788681507110596, 'test_acc': 0.9370370507240295, 'test_precision': 0.4677954316139221, 'test_recall': 0.4521409571170807, 'test_f1': 0.4596410095691681, 'communication_cost': 36696270}
[ 2026-05-14 11:56:19 | node_38 | INFO ] 🧩 Model added for round 94 (1/9) from ['node_27']
[ 2026-05-14 11:56:19 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:19 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:20 | node_18 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:20 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2707901895046234, 'test_acc': 0.9530201554298401, 'test_precision': 0.49688398838043213, 'test_recall': 0.47695258259773254, 'test_f1': 0.4864976704120636, 'communication_cost': 22582320}
[ 2026-05-14 11:56:20 | node_18 | INFO ] ✅ [FORCE] Local model added for round 94. (2/7)
[ 2026-05-14 11:56:20 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:20 | node_18 | INFO ] 📤 Sending model to 6 direct neighbors: ['node', 'node_5', 'node_6', 'node_13', 'node_30', 'node_37']
[ 2026-05-14 11:56:21 | node_1 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:22 | node_11 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:22 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:22 | node_4 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:22 | node_24 | INFO ] 🧩 Model added for round 94 (2/4) from ['node_21']
[ 2026-05-14 11:56:22 | node_47 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:22 | node_11 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:22 | node_47 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 11:56:22 | node_4 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:22 | node_1 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:22 | node_47 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_12', 'node_28', 'node_29', 'node_32', 'node_44']
[ 2026-05-14 11:56:22 | node_14 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:22 | node_1 | INFO ] 🧩 Model added for round 94 (1/10) from ['node_21']
[ 2026-05-14 11:56:22 | node_31 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:22 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:22 | node_4 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:22 | node | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:22 | node_11 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08273547887802124, 'test_acc': 0.9675675630569458, 'test_precision': 0.7837837934494019, 'test_recall': 0.8095563054084778, 'test_f1': 0.7925909757614136, 'communication_cost': 28227900}
[ 2026-05-14 11:56:22 | node_7 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:22 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:22 | node_4 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_35']
[ 2026-05-14 11:56:22 | node_31 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:22 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:22 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:22 | node_11 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:22 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:22 | node_44 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:23 | node_31 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:23 | node_19 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:23 | node_1 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:23 | node_31 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_37']
[ 2026-05-14 11:56:23 | node_44 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:23 | node | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:23 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24306638538837433, 'test_acc': 0.957198441028595, 'test_precision': 0.7745856642723083, 'test_recall': 0.7740198373794556, 'test_f1': 0.7732843160629272, 'communication_cost': 22582320}
[ 2026-05-14 11:56:23 | node_37 | INFO ] 🧩 Model added for round 94 (3/10) from ['node_18']
[ 2026-05-14 11:56:23 | node_19 | INFO ] ✅ [FORCE] Local model added for round 94. (3/11)
[ 2026-05-14 11:56:23 | node_7 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:23 | node | INFO ] 🧩 Model added for round 94 (1/8) from ['node_18']
[ 2026-05-14 11:56:23 | node_31 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:23 | node_19 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_14', 'node_16', 'node_20', 'node_22', 'node_23', 'node_28', 'node_30', 'node_37', 'node_38', 'node_49']
[ 2026-05-14 11:56:23 | node_7 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_20']
[ 2026-05-14 11:56:23 | node_35 | INFO ] 🧩 Model added for round 94 (2/8) from ['node_21']
[ 2026-05-14 11:56:23 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:23 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:23 | node_4 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:23 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:23 | node_13 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:23 | node_44 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:23 | node_44 | INFO ] 🧩 Model added for round 94 (1/9) from ['node_20']
[ 2026-05-14 11:56:23 | node_44 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:23 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:23 | node_38 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:23 | node_31 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:23 | node_38 | INFO ] ✅ [FORCE] Local model added for round 94. (2/9)
[ 2026-05-14 11:56:24 | node_29 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:24 | node_38 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_2', 'node_6', 'node_7', 'node_11', 'node_17', 'node_19', 'node_27', 'node_30']
[ 2026-05-14 11:56:24 | node_10 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:24 | node | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:24 | node_8 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:24 | node_44 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:24 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.26338014006614685, 'test_acc': 0.9279778599739075, 'test_precision': 0.4646616578102112, 'test_recall': 0.4449266791343689, 'test_f1': 0.4537069499492645, 'communication_cost': 25405110}
[ 2026-05-14 11:56:24 | node_29 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:24 | node_10 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:24 | node_8 | INFO ] ✅ [FORCE] Local model added for round 94. (2/4)
[ 2026-05-14 11:56:24 | node_8 | INFO ] 📤 Sending model to 3 direct neighbors: ['node_22', 'node_39', 'node_40']
[ 2026-05-14 11:56:24 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:24 | node_7 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:24 | node_23 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:24 | node_10 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:24 | node_29 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 11:56:24 | node_15 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 11:56:24 | node_10 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_21']
[ 2026-05-14 11:56:24 | node_29 | INFO ] 🧩 Model added for round 94 (1/8) from ['node_47']
[ 2026-05-14 11:56:24 | node_10 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:24 | node_29 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:24 | node_23 | INFO ] 🔬 Evaluating...
