[ 2026-05-14 04:51:21 | None | INFO ] Created experiment folder: /home/hoap/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DSGTAggregator_model_build_fn_20260514_045121 and copied dsgt_test.yaml
[ 2026-05-14 04:51:29 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_3', 'node_4'] | Degree: 4
[ 2026-05-14 04:51:29 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-05-14 04:51:29 | node_3 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_2', 'node_4'] | Degree: 4
[ 2026-05-14 04:51:29 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-05-14 04:51:29 | node_4 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_2', 'node_3'] | Degree: 4
[ 2026-05-14 04:51:29 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2026-05-14 04:51:29 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2026-05-14 04:51:29 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2', 'node_3', 'node_4'] | Degree: 4
[ 2026-05-14 04:51:29 | node | INFO ] ⏳ Waiting initialization.
[ 2026-05-14 04:51:29 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-05-14 04:51:30 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-05-14 04:51:30 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-05-14 04:51:31 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-05-14 04:51:31 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-05-14 04:51:32 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:51:32 | node_3 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:51:32 | node | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:51:32 | node_4 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:51:32 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:51:59 | node_1 | INFO ] 🚂 Train set of 5 nodes (all available nodes): ['node', 'node_2', 'node_3', 'node_4', 'node_1']
[ 2026-05-14 04:51:59 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:51:59 | node_2 | INFO ] 🚂 Train set of 5 nodes (all available nodes): ['node', 'node_1', 'node_3', 'node_4', 'node_2']
[ 2026-05-14 04:51:59 | node_3 | INFO ] 🚂 Train set of 5 nodes (all available nodes): ['node', 'node_1', 'node_2', 'node_4', 'node_3']
[ 2026-05-14 04:51:59 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:51:59 | node_4 | INFO ] 🚂 Train set of 5 nodes (all available nodes): ['node', 'node_1', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:51:59 | node_3 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:51:59 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:51:59 | node | INFO ] 🚂 Train set of 5 nodes (all available nodes): ['node_1', 'node_2', 'node_3', 'node_4', 'node']
[ 2026-05-14 04:51:59 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:01 | node_1 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:01 | node | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:01 | node_2 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:02 | node_3 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:02 | node_4 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:06 | node_1 | INFO ] DSGTm-TV initialized. Alpha: 0.01, Beta: 0.9
[ 2026-05-14 04:52:06 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:06 | node_1 | INFO ] ✅ [FORCE] Local model added for round 0. (1/5)
[ 2026-05-14 04:52:06 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:06 | node | INFO ] 🧩 Model added for round 0 (1/5) from ['node_1']
[ 2026-05-14 04:52:06 | node_2 | INFO ] 🧩 Model added for round 0 (1/5) from ['node_1']
[ 2026-05-14 04:52:06 | node_3 | INFO ] 🧩 Model added for round 0 (1/5) from ['node_1']
[ 2026-05-14 04:52:06 | node_4 | INFO ] 🧩 Model added for round 0 (1/5) from ['node_1']
[ 2026-05-14 04:52:06 | node | INFO ] DSGTm-TV initialized. Alpha: 0.01, Beta: 0.9
[ 2026-05-14 04:52:06 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:06 | node | INFO ] ✅ [FORCE] Local model added for round 0. (2/5)
[ 2026-05-14 04:52:06 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:06 | node_1 | INFO ] 🧩 Model added for round 0 (2/5) from ['node']
[ 2026-05-14 04:52:06 | node_2 | INFO ] DSGTm-TV initialized. Alpha: 0.01, Beta: 0.9
[ 2026-05-14 04:52:06 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:06 | node_2 | INFO ] ✅ [FORCE] Local model added for round 0. (2/5)
[ 2026-05-14 04:52:06 | node_2 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_3', 'node_4']
[ 2026-05-14 04:52:06 | node | INFO ] 🧩 Model added for round 0 (3/5) from ['node_2']
[ 2026-05-14 04:52:06 | node_2 | INFO ] 🧩 Model added for round 0 (3/5) from ['node']
[ 2026-05-14 04:52:06 | node_1 | INFO ] 🧩 Model added for round 0 (3/5) from ['node_2']
[ 2026-05-14 04:52:06 | node_3 | INFO ] 🧩 Model added for round 0 (2/5) from ['node']
[ 2026-05-14 04:52:07 | node_3 | INFO ] 🧩 Model added for round 0 (3/5) from ['node_2']
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🧩 Model added for round 0 (2/5) from ['node']
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🧩 Model added for round 0 (3/5) from ['node_2']
[ 2026-05-14 04:52:07 | node_3 | INFO ] DSGTm-TV initialized. Alpha: 0.01, Beta: 0.9
[ 2026-05-14 04:52:07 | node_3 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:07 | node_3 | INFO ] ✅ [FORCE] Local model added for round 0. (4/5)
[ 2026-05-14 04:52:07 | node_3 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_2', 'node_4']
[ 2026-05-14 04:52:07 | node | INFO ] 🧩 Model added for round 0 (4/5) from ['node_3']
[ 2026-05-14 04:52:07 | node_4 | INFO ] DSGTm-TV initialized. Alpha: 0.01, Beta: 0.9
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:07 | node_4 | INFO ] ✅ [FORCE] Local model added for round 0. (4/5)
[ 2026-05-14 04:52:07 | node_4 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_2', 'node_3']
[ 2026-05-14 04:52:07 | node_1 | INFO ] 🧩 Model added for round 0 (4/5) from ['node_3']
[ 2026-05-14 04:52:07 | node | INFO ] 🧩 Model added for round 0 (5/5) from ['node_4']
[ 2026-05-14 04:52:07 | node_2 | INFO ] 🧩 Model added for round 0 (4/5) from ['node_3']
[ 2026-05-14 04:52:07 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:07 | node_1 | INFO ] 🧩 Model added for round 0 (5/5) from ['node_4']
[ 2026-05-14 04:52:07 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:07 | node_2 | INFO ] 🧩 Model added for round 0 (5/5) from ['node_4']
[ 2026-05-14 04:52:07 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🧩 Model added for round 0 (5/5) from ['node_3']
[ 2026-05-14 04:52:07 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:07 | node_3 | INFO ] 🧩 Model added for round 0 (5/5) from ['node_4']
[ 2026-05-14 04:52:07 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:07 | node_3 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:07 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:07 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:07 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:08 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6490768790245056, 'test_acc': 0.8264999985694885, 'test_precision': 0.835180401802063, 'test_recall': 0.83183753490448, 'test_f1': 0.8165173530578613, 'communication_cost': 11291024}
[ 2026-05-14 04:52:08 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:08 | node_4 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-05-14 04:52:08 | node_4 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:08 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:08 | node | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:08 | node | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:08 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:08 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:08 | node_3 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:08 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:08 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:08 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:09 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6287890672683716, 'test_acc': 0.8255000114440918, 'test_precision': 0.8206760287284851, 'test_recall': 0.8252561688423157, 'test_f1': 0.8080503344535828, 'communication_cost': 11291024}
[ 2026-05-14 04:52:09 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:09 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6398866176605225, 'test_acc': 0.828499972820282, 'test_precision': 0.8390527963638306, 'test_recall': 0.828435480594635, 'test_f1': 0.8199188113212585, 'communication_cost': 11291024}
[ 2026-05-14 04:52:09 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:09 | node_1 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-05-14 04:52:09 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:09 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:09 | node | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-05-14 04:52:09 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:09 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:09 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5775811076164246, 'test_acc': 0.8364999890327454, 'test_precision': 0.8320273756980896, 'test_recall': 0.8286560773849487, 'test_f1': 0.8170364499092102, 'communication_cost': 11291024}
[ 2026-05-14 04:52:09 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.7129088640213013, 'test_acc': 0.8025000095367432, 'test_precision': 0.8121278285980225, 'test_recall': 0.8064741492271423, 'test_f1': 0.7885436415672302, 'communication_cost': 11291024}
[ 2026-05-14 04:52:09 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:09 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:09 | node_2 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-05-14 04:52:09 | node_3 | INFO ] 🎉 Round 1 of 20 finished.
[ 2026-05-14 04:52:09 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:09 | node_3 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:09 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:09 | node_3 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:11 | node_4 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:11 | node | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:11 | node_1 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:11 | node_3 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:12 | node_2 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:16 | node_4 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:16 | node_4 | INFO ] ✅ [FORCE] Local model added for round 1. (1/5)
[ 2026-05-14 04:52:16 | node_4 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_2', 'node_3']
[ 2026-05-14 04:52:16 | node | INFO ] 🧩 Model added for round 1 (1/5) from ['node_4']
[ 2026-05-14 04:52:16 | node_1 | INFO ] 🧩 Model added for round 1 (1/5) from ['node_4']
[ 2026-05-14 04:52:16 | node_2 | INFO ] 🧩 Model added for round 1 (1/5) from ['node_4']
[ 2026-05-14 04:52:16 | node_3 | INFO ] 🧩 Model added for round 1 (1/5) from ['node_4']
[ 2026-05-14 04:52:16 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:16 | node | INFO ] ✅ [FORCE] Local model added for round 1. (2/5)
[ 2026-05-14 04:52:16 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:16 | node_1 | INFO ] 🧩 Model added for round 1 (2/5) from ['node']
[ 2026-05-14 04:52:16 | node_2 | INFO ] 🧩 Model added for round 1 (2/5) from ['node']
[ 2026-05-14 04:52:16 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:16 | node_1 | INFO ] ✅ [FORCE] Local model added for round 1. (3/5)
[ 2026-05-14 04:52:16 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:16 | node | INFO ] 🧩 Model added for round 1 (3/5) from ['node_1']
[ 2026-05-14 04:52:16 | node_3 | INFO ] 🧩 Model added for round 1 (2/5) from ['node']
[ 2026-05-14 04:52:16 | node_2 | INFO ] 🧩 Model added for round 1 (3/5) from ['node_1']
[ 2026-05-14 04:52:16 | node_4 | INFO ] 🧩 Model added for round 1 (2/5) from ['node']
[ 2026-05-14 04:52:16 | node_3 | INFO ] 🧩 Model added for round 1 (3/5) from ['node_1']
[ 2026-05-14 04:52:16 | node_4 | INFO ] 🧩 Model added for round 1 (3/5) from ['node_1']
[ 2026-05-14 04:52:16 | node_3 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:16 | node_3 | INFO ] ✅ [FORCE] Local model added for round 1. (4/5)
[ 2026-05-14 04:52:16 | node_3 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_2', 'node_4']
[ 2026-05-14 04:52:16 | node | INFO ] 🧩 Model added for round 1 (4/5) from ['node_3']
[ 2026-05-14 04:52:16 | node_1 | INFO ] 🧩 Model added for round 1 (4/5) from ['node_3']
[ 2026-05-14 04:52:16 | node_2 | INFO ] 🧩 Model added for round 1 (4/5) from ['node_3']
[ 2026-05-14 04:52:17 | node_4 | INFO ] 🧩 Model added for round 1 (4/5) from ['node_3']
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:17 | node_2 | INFO ] ✅ [FORCE] Local model added for round 1. (5/5)
[ 2026-05-14 04:52:17 | node_2 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_3', 'node_4']
[ 2026-05-14 04:52:17 | node | INFO ] 🧩 Model added for round 1 (5/5) from ['node_2']
[ 2026-05-14 04:52:17 | ModelPackager | INFO ] Round 1: Interval reached (2). Authorized node saving & pushing...
[ 2026-05-14 04:52:17 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:17 | node_1 | INFO ] 🧩 Model added for round 1 (5/5) from ['node_2']
[ 2026-05-14 04:52:17 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:17 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:17 | node_3 | INFO ] 🧩 Model added for round 1 (5/5) from ['node_2']
[ 2026-05-14 04:52:17 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:17 | node_3 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:17 | node_4 | INFO ] 🧩 Model added for round 1 (5/5) from ['node_2']
[ 2026-05-14 04:52:17 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:17 | node_4 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:17 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:17 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.726864218711853, 'test_acc': 0.8370000123977661, 'test_precision': 0.8577609062194824, 'test_recall': 0.8357244729995728, 'test_f1': 0.8238445520401001, 'communication_cost': 11291160}
[ 2026-05-14 04:52:17 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🎉 Round 2 of 20 finished.
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:17 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:18 | node | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:18 | node | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:18 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:18 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:18 | node_3 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:18 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:18 | node_4 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 04:52:18 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-05-14 04:52:18 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8127632737159729, 'test_acc': 0.8115000128746033, 'test_precision': 0.8552231192588806, 'test_recall': 0.8131772875785828, 'test_f1': 0.8077611923217773, 'communication_cost': 11291160}
[ 2026-05-14 04:52:18 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:18 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8488326072692871, 'test_acc': 0.809499979019165, 'test_precision': 0.8499408960342407, 'test_recall': 0.813148558139801, 'test_f1': 0.8003672957420349, 'communication_cost': 11291160}
[ 2026-05-14 04:52:18 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:18 | node | INFO ] 🎉 Round 2 of 20 finished.
[ 2026-05-14 04:52:18 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:18 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:18 | node_1 | INFO ] 🎉 Round 2 of 20 finished.
[ 2026-05-14 04:52:18 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:18 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:18 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.9077332019805908, 'test_acc': 0.7960000038146973, 'test_precision': 0.8344323635101318, 'test_recall': 0.79660964012146, 'test_f1': 0.781769871711731, 'communication_cost': 11291160}
[ 2026-05-14 04:52:18 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:18 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.7249405384063721, 'test_acc': 0.8184999823570251, 'test_precision': 0.8518180251121521, 'test_recall': 0.8150389194488525, 'test_f1': 0.8072108030319214, 'communication_cost': 11291160}
[ 2026-05-14 04:52:18 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 04:52:18 | node_3 | INFO ] 🎉 Round 2 of 20 finished.
[ 2026-05-14 04:52:18 | node_3 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:18 | node_3 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:18 | node_4 | INFO ] 🎉 Round 2 of 20 finished.
[ 2026-05-14 04:52:18 | node_4 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 5
[ 2026-05-14 04:52:18 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 04:52:20 | node_2 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:20 | node | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:20 | node_3 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:20 | node_1 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:21 | node_4 | INFO ] 🎓 Training step done.
[ 2026-05-14 04:52:25 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:25 | node_2 | INFO ] ✅ [FORCE] Local model added for round 2. (1/5)
[ 2026-05-14 04:52:25 | node_2 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_3', 'node_4']
[ 2026-05-14 04:52:25 | node | INFO ] 🧩 Model added for round 2 (1/5) from ['node_2']
[ 2026-05-14 04:52:25 | node_1 | INFO ] 🧩 Model added for round 2 (1/5) from ['node_2']
[ 2026-05-14 04:52:25 | node_3 | INFO ] 🧩 Model added for round 2 (1/5) from ['node_2']
[ 2026-05-14 04:52:25 | node_4 | INFO ] 🧩 Model added for round 2 (1/5) from ['node_2']
[ 2026-05-14 04:52:25 | node | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:25 | node | INFO ] ✅ [FORCE] Local model added for round 2. (2/5)
[ 2026-05-14 04:52:25 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:25 | node_1 | INFO ] 🧩 Model added for round 2 (2/5) from ['node']
[ 2026-05-14 04:52:25 | node_3 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:25 | node_3 | INFO ] ✅ [FORCE] Local model added for round 2. (2/5)
[ 2026-05-14 04:52:25 | node_3 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_1', 'node_2', 'node_4']
[ 2026-05-14 04:52:25 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 04:52:25 | node_1 | INFO ] ✅ [FORCE] Local model added for round 2. (3/5)
[ 2026-05-14 04:52:25 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_4']
[ 2026-05-14 04:52:25 | node | INFO ] 🧩 Model added for round 2 (3/5) from ['node_3']
[ 2026-05-14 04:52:25 | node | INFO ] 🧩 Model added for round 2 (4/5) from ['node_1']
[ 2026-05-14 04:52:25 | node_2 | INFO ] 🧩 Model added for round 2 (2/5) from ['node']
[ 2026-05-14 04:52:25 | node_1 | INFO ] 🧩 Model added for round 2 (4/5) from ['node_3']
[ 2026-05-14 04:52:25 | node_2 | INFO ] 🧩 Model added for round 2 (3/5) from ['node_1']
[ 2026-05-14 04:52:25 | node_3 | INFO ] 🧩 Model added for round 2 (3/5) from ['node']
[ 2026-05-14 04:52:26 | node_3 | INFO ] 🧩 Model added for round 2 (4/5) from ['node_1']
[ 2026-05-14 04:52:26 | node_4 | INFO ] 🧩 Model added for round 2 (2/5) from ['node']
[ 2026-05-14 04:52:26 | node_2 | INFO ] 🧩 Model added for round 2 (4/5) from ['node_3']
[ 2026-05-14 04:52:26 | node_4 | INFO ] 🧩 Model added for round 2 (3/5) from ['node_1']
[ 2026-05-14 04:52:26 | node_4 | INFO ] 🧩 Model added for round 2 (4/5) from ['node_3']
[ 2026-05-14 04:52:26 | node_4 | INFO ] 🛠️ Calling force_add_local_model...
