[ 2026-02-15 08:49:12 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260215_084912 and copied 00_test_verify.yaml
[ 2026-02-15 08:49:19 | 0.0.0.0:40531 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-15 08:49:20 | 0.0.0.0:54209 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:20 | 0.0.0.0:40531 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:20 | 0.0.0.0:47807 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:28 | 0.0.0.0:54209 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:47807', '0.0.0.0:40531', '0.0.0.0:54209']
[ 2026-02-15 08:49:28 | 0.0.0.0:40531 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:47807', '0.0.0.0:54209', '0.0.0.0:40531']
[ 2026-02-15 08:49:28 | 0.0.0.0:54209 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:28 | 0.0.0.0:40531 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:28 | 0.0.0.0:47807 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:54209', '0.0.0.0:40531', '0.0.0.0:47807']
[ 2026-02-15 08:49:28 | 0.0.0.0:47807 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:31 | 0.0.0.0:54209 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:31 | 0.0.0.0:47807 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:31 | 0.0.0.0:54209 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:31 | 0.0.0.0:47807 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:31 | 0.0.0.0:54209 | INFO ] ✅ [FORCE] Local model added for round 0. (1/3)
[ 2026-02-15 08:49:31 | 0.0.0.0:47807 | INFO ] ✅ [FORCE] Local model added for round 0. (1/3)
[ 2026-02-15 08:49:31 | 0.0.0.0:40531 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:31 | 0.0.0.0:40531 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:31 | 0.0.0.0:40531 | INFO ] ✅ [FORCE] Local model added for round 0. (1/3)
[ 2026-02-15 08:49:36 | 0.0.0.0:47807 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:54209', '0.0.0.0:40531']
[ 2026-02-15 08:49:36 | 0.0.0.0:54209 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:47807', '0.0.0.0:40531']
[ 2026-02-15 08:49:36 | 0.0.0.0:47807 | INFO ] 🧩 Model added for round 0 (2/3) from ['0.0.0.0:54209']
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:47807', '0.0.0.0:54209']
[ 2026-02-15 08:49:36 | 0.0.0.0:54209 | INFO ] 🧩 Model added for round 0 (2/3) from ['0.0.0.0:47807']
[ 2026-02-15 08:49:36 | 0.0.0.0:47807 | INFO ] 🧩 Model added for round 0 (3/3) from ['0.0.0.0:40531']
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🧩 Model added for round 0 (2/3) from ['0.0.0.0:54209']
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🧩 Model added for round 0 (3/3) from ['0.0.0.0:47807']
[ 2026-02-15 08:49:36 | 0.0.0.0:54209 | INFO ] 🧩 Model added for round 0 (3/3) from ['0.0.0.0:40531']
[ 2026-02-15 08:49:36 | 0.0.0.0:47807 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:36 | 0.0.0.0:54209 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:36 | 0.0.0.0:47807 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:36 | 0.0.0.0:54209 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2825729548931122, 'test_acc': 0.9126912951469421, 'test_precision': 0.9152128100395203, 'test_recall': 0.9112634062767029, 'test_f1': 0.9077144861221313}
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:36 | 0.0.0.0:40531 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.29774463176727295, 'test_acc': 0.9033903479576111, 'test_precision': 0.9099419713020325, 'test_recall': 0.9019788503646851, 'test_f1': 0.8966091871261597}
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2654794156551361, 'test_acc': 0.9160168170928955, 'test_precision': 0.922668993473053, 'test_recall': 0.9132592082023621, 'test_f1': 0.9122924208641052}
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:37 | 0.0.0.0:54209 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:37 | 0.0.0.0:47807 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:38 | 0.0.0.0:40531 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:38 | 0.0.0.0:40531 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:38 | 0.0.0.0:40531 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
[ 2026-02-15 08:49:39 | 0.0.0.0:47807 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:39 | 0.0.0.0:47807 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:39 | 0.0.0.0:47807 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
[ 2026-02-15 08:49:39 | 0.0.0.0:54209 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:39 | 0.0.0.0:54209 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:39 | 0.0.0.0:54209 | INFO ] ✅ [FORCE] Local model added for round 1. (1/3)
[ 2026-02-15 08:49:43 | 0.0.0.0:40531 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:47807', '0.0.0.0:54209']
[ 2026-02-15 08:49:43 | 0.0.0.0:47807 | INFO ] 🧩 Model added for round 1 (2/3) from ['0.0.0.0:40531']
[ 2026-02-15 08:49:43 | 0.0.0.0:54209 | INFO ] 🧩 Model added for round 1 (2/3) from ['0.0.0.0:40531']
[ 2026-02-15 08:49:44 | 0.0.0.0:47807 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:54209', '0.0.0.0:40531']
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 🧩 Model added for round 1 (3/3) from ['0.0.0.0:47807']
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:47807', '0.0.0.0:40531']
[ 2026-02-15 08:49:44 | 0.0.0.0:47807 | INFO ] 🧩 Model added for round 1 (3/3) from ['0.0.0.0:54209']
[ 2026-02-15 08:49:44 | 0.0.0.0:40531 | INFO ] 🧩 Model added for round 1 (2/3) from ['0.0.0.0:47807']
[ 2026-02-15 08:49:44 | 0.0.0.0:40531 | INFO ] 🧩 Model added for round 1 (3/3) from ['0.0.0.0:54209']
[ 2026-02-15 08:49:44 | 0.0.0.0:47807 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:44 | 0.0.0.0:40531 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:44 | 0.0.0.0:47807 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:44 | 0.0.0.0:40531 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:44 | 0.0.0.0:54209 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:45 | 0.0.0.0:54209 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13669493794441223, 'test_acc': 0.9564956426620483, 'test_precision': 0.9575080275535583, 'test_recall': 0.9569980502128601, 'test_f1': 0.9550957083702087}
[ 2026-02-15 08:49:45 | 0.0.0.0:54209 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:45 | 0.0.0.0:54209 | INFO ] 🎉 Round 2 of 5 finished.
[ 2026-02-15 08:49:45 | 0.0.0.0:54209 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:45 | 0.0.0.0:54209 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:45 | 0.0.0.0:40531 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:45 | 0.0.0.0:47807 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 08:49:45 | 0.0.0.0:40531 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:45 | 0.0.0.0:47807 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:49:46 | 0.0.0.0:40531 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1479225903749466, 'test_acc': 0.958595871925354, 'test_precision': 0.9585107564926147, 'test_recall': 0.9583335518836975, 'test_f1': 0.9565891027450562}
[ 2026-02-15 08:49:46 | 0.0.0.0:40531 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:46 | 0.0.0.0:47807 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13729801774024963, 'test_acc': 0.9568086266517639, 'test_precision': 0.9585981965065002, 'test_recall': 0.9567035436630249, 'test_f1': 0.9554129242897034}
[ 2026-02-15 08:49:46 | 0.0.0.0:47807 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:49:46 | 0.0.0.0:40531 | INFO ] 🎉 Round 2 of 5 finished.
[ 2026-02-15 08:49:46 | 0.0.0.0:40531 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:46 | 0.0.0.0:40531 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:46 | 0.0.0.0:47807 | INFO ] 🎉 Round 2 of 5 finished.
[ 2026-02-15 08:49:46 | 0.0.0.0:47807 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 3
[ 2026-02-15 08:49:46 | 0.0.0.0:47807 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:49:46 | 0.0.0.0:54209 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:46 | 0.0.0.0:54209 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:46 | 0.0.0.0:54209 | INFO ] ✅ [FORCE] Local model added for round 2. (1/3)
[ 2026-02-15 08:49:47 | 0.0.0.0:40531 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:47 | 0.0.0.0:40531 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:47 | 0.0.0.0:40531 | INFO ] ✅ [FORCE] Local model added for round 2. (1/3)
[ 2026-02-15 08:49:47 | 0.0.0.0:47807 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:49:47 | 0.0.0.0:47807 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:49:47 | 0.0.0.0:47807 | INFO ] ✅ [FORCE] Local model added for round 2. (1/3)
[ 2026-02-15 08:49:51 | 0.0.0.0:47807 | INFO ] Stopping node...
[ 2026-02-15 08:49:51 | 0.0.0.0:47807 | INFO ] 🛑 Stopping gossiper...
[ 2026-02-15 08:49:51 | 0.0.0.0:54209 | INFO ] Stopping node...
[ 2026-02-15 08:49:51 | 0.0.0.0:54209 | INFO ] 🛑 Stopping gossiper...
[ 2026-02-15 08:49:51 | 0.0.0.0:40531 | INFO ] Stopping node...
[ 2026-02-15 08:49:51 | 0.0.0.0:40531 | INFO ] 🛑 Stopping gossiper...
